Linux 2.6.32-042stab072.10 (lax-sup-pro-ctr1.inmotionhosting.com) 	02/13/2014 	_x86_64_	(32 CPU)

12:00:01 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
12:01:01 AM         1       106      0.67      0.71      0.68
12:02:01 AM         0       104      0.63      0.69      0.68
12:03:01 AM         1       104      1.27      0.83      0.73
12:04:01 AM         0       117      2.84      1.22      0.86
12:05:01 AM         1       108      1.55      1.14      0.85
12:06:01 AM         0       103      0.95      1.04      0.83
12:07:01 AM         1       104      1.40      1.13      0.87
12:08:01 AM         1       103      0.77      1.01      0.85
12:09:01 AM         1       104      0.59      0.93      0.82
12:10:01 AM         0       103      0.43      0.82      0.79
12:11:02 AM         0       104      0.51      0.77      0.78
12:12:01 AM         0       104      0.26      0.66      0.74
12:13:01 AM         0       114      2.73      1.18      0.90
12:14:01 AM         0       103      1.09      1.00      0.85
12:15:01 AM         0       107      0.49      0.84      0.81
12:16:01 AM         0       105      1.17      0.91      0.83
12:17:02 AM         0       104      0.66      0.80      0.80
12:18:01 AM         0       103      0.65      0.75      0.78
12:19:01 AM         1       104      0.96      0.87      0.82
12:20:01 AM         1       103      0.77      0.82      0.80
12:21:01 AM         1       104      0.75      0.82      0.80
12:22:01 AM         0       104      0.48      0.72      0.77
12:23:01 AM         2       104      0.65      0.71      0.76
12:24:01 AM         3       103      0.46      0.64      0.73
12:25:01 AM         1       104      1.36      0.86      0.79
12:26:01 AM         0       103      1.02      0.86      0.80
12:27:01 AM         0       104      0.88      0.84      0.80
12:28:01 AM         0       103      1.44      1.01      0.85
12:29:01 AM         0       104      1.34      1.06      0.88
12:30:01 AM         1       103      1.31      1.13      0.91
12:31:01 AM         0       104      0.82      1.03      0.89
12:32:01 AM         1       105      1.34      1.10      0.92
12:33:01 AM         1       105      0.77      0.99      0.89
12:34:01 AM         0       104      0.62      0.91      0.87
12:35:01 AM         1       107      1.42      1.11      0.94
12:36:01 AM         1       103      1.79      1.33      1.03
12:37:01 AM         1       104      0.82      1.13      0.98
12:38:01 AM         1       103      0.67      1.02      0.95
12:39:01 AM         0       104      0.51      0.92      0.91
12:40:01 AM         0       103      0.85      0.92      0.91
12:41:01 AM         0       104      0.51      0.81      0.88
12:42:01 AM         0       104      0.47      0.75      0.85
12:43:01 AM         0       104      0.83      0.81      0.86
12:44:01 AM         0       103      1.02      0.86      0.87
12:45:01 AM         1       110      0.73      0.79      0.85
12:46:01 AM         0       103      0.76      0.78      0.84
12:47:01 AM         1       107      1.39      0.97      0.89
12:48:01 AM         0       103      1.11      0.96      0.90
12:49:01 AM         2       107      0.77      0.89      0.87
12:50:01 AM         0       103      0.48      0.78      0.84
12:51:01 AM         0       106      0.56      0.74      0.82
12:52:01 AM         1       104      0.58      0.72      0.81
12:53:01 AM         0       104      0.49      0.68      0.78
12:54:01 AM         1       104      0.33      0.61      0.75
12:55:01 AM         0       104      0.51      0.59      0.73
12:56:01 AM         0       104      0.49      0.56      0.71
12:57:01 AM         0       106      0.49      0.54      0.70
12:58:01 AM         0       103      0.38      0.49      0.67
12:59:01 AM         0       104      0.31      0.44      0.64
01:00:01 AM         1       107      0.89      0.58      0.67
01:01:01 AM         1       107      1.62      0.91      0.78
01:02:01 AM         1       105      0.81      0.80      0.74
01:03:01 AM         0       104      0.81      0.77      0.73
01:04:01 AM         1       108      0.48      0.67      0.70
01:05:01 AM         0       104      1.63      0.98      0.81
01:06:01 AM         1       103      0.94      0.93      0.80
01:07:01 AM         1       110      1.66      1.06      0.85
01:08:02 AM         1       103      0.73      0.91      0.81
01:09:01 AM         0       104      0.48      0.79      0.77
01:10:01 AM         0       106      0.73      0.81      0.78
01:11:01 AM         0       104      0.48      0.73      0.75
01:12:01 AM         0       104      0.65      0.72      0.74
01:13:01 AM         0       104      0.51      0.69      0.73
01:14:01 AM         0       103      0.37      0.62      0.70
01:15:01 AM         1       104      0.59      0.63      0.70
01:16:01 AM         0       103      0.91      0.74      0.73
01:17:01 AM         2       104      1.00      0.76      0.74
01:18:01 AM         0       103      0.68      0.71      0.72
01:19:01 AM         0       104      0.61      0.68      0.70
01:20:01 AM         1       103      0.91      0.77      0.73
01:21:01 AM         0       104      0.91      0.78      0.74
01:22:01 AM         0       104      0.74      0.74      0.72
01:23:01 AM         0       104      0.55      0.68      0.70
01:24:01 AM         0       103      0.75      0.73      0.72
01:25:01 AM         0       104      0.84      0.77      0.73
01:26:01 AM         0       103      0.78      0.76      0.73
01:27:01 AM         1       104      0.72      0.76      0.73
01:28:01 AM         0       103      0.66      0.74      0.72
01:29:01 AM         0       104      0.55      0.68      0.70
01:30:01 AM         0       107      1.20      0.78      0.73
01:31:01 AM         0       106      2.15      1.11      0.84
01:32:01 AM         1       109      1.91      1.20      0.89
01:33:01 AM         2       106      2.39      1.53      1.02
01:34:01 AM         0       104      1.48      1.42      1.01
01:35:01 AM         1       114      2.07      1.51      1.06
01:36:01 AM         0       104      2.11      1.70      1.16
01:37:01 AM         1       105      1.32      1.54      1.13
01:38:01 AM         1       104      1.06      1.43      1.12
01:39:01 AM         1       105      1.22      1.39      1.12
01:40:01 AM         1       104      0.59      1.18      1.06
01:41:01 AM         0       105      0.45      1.04      1.02
01:42:01 AM         0       105      0.69      1.01      1.01
01:43:01 AM         0       106      0.62      0.93      0.98
01:44:01 AM         1       104      0.72      0.91      0.97
01:45:01 AM         1       108      1.30      1.14      1.05
01:46:01 AM         0       105      1.02      1.07      1.03
01:47:01 AM         0       105      0.90      1.03      1.02
01:48:01 AM         1       104      0.75      0.96      0.99
01:49:01 AM         2       108      0.90      0.96      0.99
01:50:01 AM         0       105      0.54      0.84      0.94
01:51:01 AM         1       107      0.81      0.85      0.94
01:52:01 AM         1       106      0.37      0.72      0.89
01:53:01 AM         0       106      0.38      0.66      0.85
01:54:01 AM         1       105      0.63      0.69      0.85
01:55:01 AM         0       106      0.46      0.63      0.81
01:56:01 AM         1       106      0.69      0.66      0.81
01:57:01 AM         0       106      1.00      0.80      0.85
01:58:01 AM         0       107      1.16      0.84      0.86
01:59:01 AM         1       106      1.00      0.86      0.86
02:00:01 AM         3       110      2.39      1.27      1.00
02:01:01 AM         1       109      1.27      1.15      0.97
02:02:01 AM         0       106      0.66      0.98      0.92
02:03:01 AM         0       106      0.58      0.91      0.90
02:04:01 AM         1       108      0.66      0.87      0.89
02:05:01 AM         1       106      0.55      0.81      0.87
02:06:01 AM         0       105      0.69      0.80      0.86
02:07:01 AM         0       106      0.60      0.76      0.84
02:08:01 AM         1       107      0.74      0.77      0.83
02:09:01 AM         2       106      0.64      0.73      0.81
02:10:02 AM         0       106      2.28      1.25      0.99
02:11:01 AM         0       106      1.43      1.18      0.98
02:12:01 AM         1       108      2.34      1.50      1.10
02:13:01 AM         0       107      1.12      1.31      1.06
02:14:01 AM         1       105      1.00      1.23      1.04
02:15:01 AM         1       106      0.73      1.10      1.01
02:16:01 AM         1       107      0.63      1.00      0.98
02:17:01 AM         0       106      0.77      0.97      0.97
02:18:02 AM         1       105      0.56      0.88      0.94
02:19:01 AM         1       106      0.64      0.85      0.92
02:20:01 AM         0       105      0.35      0.72      0.87
02:21:01 AM         1       106      0.45      0.71      0.86
02:22:01 AM         1       106      0.52      0.68      0.83
02:23:01 AM         1       109      0.45      0.64      0.81
02:24:01 AM         1       107      0.57      0.64      0.80
02:25:01 AM         0       106      0.34      0.57      0.76
02:26:01 AM         0       105      1.35      0.76      0.81
02:27:01 AM         0       106      0.86      0.73      0.80
02:28:01 AM         1       105      0.89      0.76      0.80
02:29:01 AM         0       107      0.89      0.80      0.81
02:30:01 AM         2       105      1.14      0.88      0.84
02:31:01 AM         0       107      1.50      1.01      0.88
02:32:01 AM         1       108      0.94      0.93      0.86
02:33:01 AM         1       106      0.73      0.86      0.84
02:34:01 AM         2       106      0.78      0.84      0.83
02:35:01 AM         1       109      0.85      0.87      0.84
02:36:01 AM         1       105      0.91      0.89      0.85
02:37:01 AM         0       106      0.79      0.85      0.83
02:38:01 AM         0       105      0.84      0.86      0.83
02:39:01 AM         0       106      0.82      0.84      0.82
02:40:01 AM         2       107      0.50      0.74      0.79
02:41:01 AM         3       106      0.49      0.70      0.77
02:42:01 AM         0       106      0.43      0.63      0.74
02:43:01 AM         0       106      0.54      0.63      0.73
02:44:01 AM         0       105      0.63      0.65      0.73
02:45:01 AM         1       109      0.28      0.54      0.68
02:46:01 AM         0       105      0.36      0.52      0.66
